,user,topic0,topic1,topic2,topic3,cluster
0,UNDP,138,115,111,139,0
0,rachelraczka,104,100,108,101,0
0,DavidLat,99,101,95,100,0
0,oyostategovt,106,120,98,89,0
0,AmunekeEmma9496,2,5,3,5,1
0,SolixBucs,76,73,74,87,0
0,thecableng,126,132,117,118,0
0,@iamdbanj,104,91,95,92,0
0,LAFC,89,84,93,76,0
0,trikaofficial,0,0,0,1,1
0,SL10Nigeria,111,98,105,99,0
0,danielsimangol2,95,87,95,83,0
0,emilyy_43,118,120,108,126,0
0,CerrJ,125,129,117,121,0
0,badrun_khan,111,109,93,99,0
0,TimSpiritMolobi,123,108,124,139,0
0,govnigeria,13,27,24,23,1
0,officialEFCC,87,86,94,86,0
0,EleniGiokos,121,128,109,120,0
0,SaddickAdams,103,94,101,124,0
0,masason,9,9,5,8,1
0,akin_adesina,123,125,121,127,0
0,SrBachchan,76,62,75,78,0
0,Atul_Gawande,117,124,102,100,0
0,nathalie_rabe,14,17,17,14,1
0,rajshah,129,133,117,124,0
0,Mariana_Sanches,4,2,4,2,1
0,KatieS,96,98,103,104,0
0,CarolineYLChen,123,111,130,109,0
0,descaptain,111,126,120,116,0
0,Macky_Sall,3,2,2,2,1
0,HungerProject,96,139,138,128,0
0,OmbaVeron,15,19,19,21,1
0,@Realomosexy,113,115,111,108,0
0,QuinceMountain,102,111,121,130,0
0,AlvinZhakata,82,60,80,92,0
0,Rafanelli,25,22,23,33,1
0,joshkelliott,118,117,135,109,0
0,IdahWaringa,82,82,71,77,0
0,FAAN_Official,97,113,107,96,0
0,ilo,122,114,133,134,0
0,SueOntiveros,129,109,121,109,0
0,RobinAdamsZA,111,94,102,102,0
0,radionigeriahq,114,105,108,128,0
0,charlesjkenny,105,114,123,113,0
0,caroltx26,66,77,64,59,0
0,robholley,129,112,105,100,0
0,twschwa,96,121,127,82,0
0,CK12Foundation,111,139,128,117,0
0,soka25east,114,112,117,117,0
0,wazo1,8,5,2,2,1
0,WaitingSuperman,120,143,131,109,0
0,drbenwhite,102,117,109,110,0
0,CGIAR,128,130,127,118,0
0,MarriottBonvoy,134,124,129,114,0
0,RyanHoliday,127,133,122,105,0
0,Toniob38,129,109,123,105,0
0,ARPAE,135,132,109,129,0
0,StanfordEnergy,129,116,142,108,0
0,MSuzman,128,133,112,122,0
0,renireni,99,117,113,103,0
0,obioraokaforc,26,32,34,33,1
0,ElissaBeth,6,7,4,5,1
0,kopanomabaso,122,101,96,91,0
0,AreaFada1,100,116,115,106,0
0,theNASEM,124,148,115,118,0
0,ProfOsinbajo,120,138,125,106,0
0,hhbility,8,4,3,6,1
0,nsia_nigeria,121,135,120,111,0
0,madisenbeaty,122,118,121,121,0
0,NextGenStacey,25,29,28,29,1
0,Darlene4NY,93,101,116,100,0
0,TisforThompson,74,72,91,98,0
0,m_christenson,112,114,117,123,0
0,TanouDiallo18,15,18,14,11,1
0,toviasmithnpr,112,136,128,98,0
0,FCBfemeni,12,14,14,13,1
0,NGRPresident,114,135,128,120,0
0,paulm_official,137,110,114,126,0
0,officialNEDC,96,113,102,94,0
0,realreanigeria,113,115,128,121,0
0,ChrisJElias,146,124,105,122,0
0,channelstv,111,125,105,132,0
0,DFB,0,0,1,0,1
0,moniquebeech,133,107,120,121,0
0,DouglasMGriffin,108,108,123,136,0
0,GatesUS,114,108,118,141,0
0,froomkin,105,123,143,127,0
0,SONNigeria,92,118,101,105,0
0,RobertGreene,134,121,113,122,0
0,sanchezcastejon,5,2,7,4,1
0,ryanshore,130,122,123,114,0
0,NTANewsNow,63,72,99,89,0
0,richiecastaldo,102,107,128,88,0
0,akinalabi,95,141,110,105,0
0,AminaJMohammed,113,119,149,120,0
0,JennaUshkowitz,96,102,94,95,0
0,BiosafetyNig,128,116,115,109,0
0,ZShamsuna,80,79,81,79,0
0,MalariaNoMore,117,128,124,129,0
0,nsenigeria,119,119,142,116,0
0,CDS_Nig,86,72,64,77,0
0,mortreport,120,128,124,102,0
0,MKKyari,10,24,17,30,1
0,STR0,107,111,102,102,0
0,Bilel_knaissi,64,57,60,53,1
0,SethDavisHoops,142,104,119,108,0
0,DFID_UK,124,119,133,125,0
0,Lauretta_Ogbu,98,96,85,84,0
0,Adambombz,94,101,93,86,0
0,GStephanopoulos,143,127,105,121,0
0,unfuck_america,0,3,0,0,1
0,JDScholten,107,102,93,99,0
0,SteveWithrowPBA,80,74,76,78,0
0,NSEcontact,4,3,4,1,1
0,FedMinOfJustice,42,37,47,33,1
0,heidinazarudin,108,110,115,124,0
0,dchou1107,118,130,126,121,0
0,WHONigeria,112,100,89,113,0
0,PwC_Nigeria,126,127,122,127,0
0,HansRosling,128,126,120,112,0
0,DavidSacks,117,114,130,118,0
0,gatesfoundation,132,123,112,122,0
0,orlatinsley,106,114,102,111,0
0,adamfwalsh,94,107,98,99,0
0,becongress,99,107,131,123,0
0,HCuccinello,101,125,104,114,0
0,maskeroni,120,104,113,98,0
0,TIME,123,121,125,127,0
0,AdeOnafowokan,102,81,98,69,0
0,rwang0,120,131,129,104,0
0,Kgatlanathe1st,115,112,92,97,0
0,lisastark351,93,107,105,142,0
0,ymbein,1,5,5,3,1
0,BradSmi,111,124,138,124,0
0,ahmed_dikko,19,8,15,21,1
0,PoliceNG,100,80,99,93,0
0,GeorgeWeahOff,73,70,69,47,1
0,mahmoudelfayez,3,2,4,3,1
0,Naijafutbol11,121,115,116,103,0
0,globlhealth2035,109,94,106,119,0
0,BillGates,113,119,126,120,0
0,LeonBalogun,99,81,98,86,0
0,IbukunAwosika,123,98,125,103,0
0,TheFolake,96,109,88,103,0
0,nbcgovng,112,101,113,120,0
0,PTADNigeria,110,117,119,126,0
0,RaeElle,115,109,103,108,0
0,edit_susan,116,98,108,112,0
0,paulocoelho,53,35,64,43,1
0,emantheheartbrk,108,130,111,109,0
0,TeachForAmerica,128,116,122,107,0
0,wef,129,120,127,123,0
0,colinmcfarlane,121,125,126,132,0
0,TBAlliance,122,125,125,130,0
0,MSFTResearch,122,121,146,116,0
0,jamieoliver,93,128,106,120,0
0,MaduroPoiares,20,14,17,18,1
0,CommonSenseEd,125,114,137,126,0
0,FareedZakaria,96,113,110,113,0
0,ossap_sdgs,122,130,128,116,0
0,MarthaHunt,112,107,87,88,0
0,nigeriaeiti,109,106,137,123,0
0,tanyaghahremani,126,115,118,122,0
0,ASSEofficiel,7,10,8,5,1
0,GreatNonprofits,136,119,118,127,0
0,sapinker,120,112,121,127,0
0,FredSwaniker,67,63,74,72,0
0,Hanaabdelsattar,30,18,18,20,1
0,BishopJakes,115,123,123,132,0
0,Med_Kekli,22,21,17,15,1
0,TechCrunch,116,116,148,124,0
0,SeamusBlackley,97,91,113,120,0
0,FMYouthSports,0,1,1,1,1
0,sebastienblanc,4,2,5,4,1
0,FadyAshraf,11,6,2,4,1
0,VSFNigeria,103,138,126,124,0
0,Eng_BrianM,84,104,98,91,0
0,AliRawaf,128,113,120,118,0
0,bridgeteverett,129,132,103,102,0
0,KhatibSKY,17,16,22,18,1
0,Marriott,127,130,107,139,0
0,ddun1025,114,121,132,111,0
0,CharityNav,105,145,125,119,0
0,k_satyarthi,105,79,101,88,0
0,ClancyReports,127,111,120,137,0
0,TheIFAB,134,137,113,100,0
0,OGFZA,110,74,101,96,0
0,nicolconcilio,122,126,103,102,0
0,danidelvalleok,5,5,6,5,1
0,thenff,111,111,95,105,0
0,EleanorNorton,106,103,131,130,0
0,samuelogundipe,104,120,105,99,0
0,GuardianNigeria,118,127,117,141,0
0,NetflixNaija,81,63,76,74,0
0,Freedland,127,125,117,124,0
0,leasteinacker,84,56,73,96,0
0,DrJoeAbah,93,99,124,102,0
0,Water,119,119,126,138,0
0,SAFA_net,113,121,93,87,0
0,pierre,125,133,117,128,0
0,m_clem,118,127,106,111,0
0,ASAMOAH_GYAN3,81,107,89,83,0
0,ogundamisi,102,110,108,120,0
0,RCSI_Irl,114,131,121,136,0
0,good,117,122,136,115,0
0,HabibKhanT,75,106,81,70,0
0,UNDPNigeria,120,128,131,122,0
0,ASRomaPidgin,103,116,99,98,0
0,icrcng,49,60,56,53,1
0,NjieEnow,107,113,111,106,0
0,katiecouric,123,104,116,107,0
0,SLM_Initiative,21,23,29,33,1
0,voiceofnigeria,118,117,113,126,0
0,naptipnigeria,120,123,119,120,0
0,VAdegite,86,99,78,106,0
0,ESTunis1919,2,1,0,0,1
0,SwedeninNigeria,105,114,91,103,0
0,brandonacox,115,127,115,108,0
0,abennett,112,124,93,118,0
0,drsanjaygupta,65,72,70,90,0
0,Padmasree,105,103,115,120,0
0,HouseNGR,99,97,98,141,0
0,Ibilola_Amao,127,109,128,126,0
0,jonathanvicent,2,3,1,2,1
0,abbijacobson,105,117,111,101,0
0,abikedabiri,52,42,71,60,1
0,acnewsitics,126,118,127,121,0
0,DefenceInfoNG,97,95,101,114,0
0,NigeriaFMYS,101,129,127,123,0
0,FMoCDENigeria,121,125,130,110,0
0,wierdduk,5,2,4,2,1
0,gateshealth,119,120,131,131,0
0,WalterIsaacson,120,111,126,131,0
0,CorneliaGeppert,114,116,113,105,0
0,MBuhari,115,147,124,114,0
0,FTF_OFFICIELLE,0,1,1,3,1
0,JeffDSachs,116,122,104,145,0
0,JCMorrisn,107,130,118,95,0
0,SOFsocialgood,148,103,126,126,0
0,tomfriedman,127,118,133,115,0
0,SalVulcano,113,112,110,111,0
0,_AfricanUnion,100,102,96,129,0
0,NESREANigeria,97,134,117,102,0
0,AprilDRyan,129,124,117,123,0
0,ngrinnovation,104,113,114,112,0
0,BashirAhmaad,133,111,118,99,0
0,AWSportsSummit,66,49,65,54,1
0,melindagates,140,111,114,118,0
0,IWilliams95,110,106,120,105,0
0,AsanteKotoko_SC,126,115,120,128,0
0,Morocco2026_EN,98,112,115,119,0
0,Jacopo_della_Q,116,110,117,139,0
0,TheEconomist,82,64,72,63,0
0,smora75,12,13,13,15,1
