,user,topic0,topic1,topic2,topic3,cluster
0,MatthewStadlen,120,121,103,113,0
0,Acosta,136,97,120,141,0
0,nimetnigeria,101,116,96,105,0
0,ava,72,82,102,92,0
0,MaghribFoot,95,114,125,116,0
0,lauraleighabby,127,129,118,102,0
0,UNICEF,118,127,134,118,0
0,toluogunlesi,112,128,124,103,0
0,VictoriaS,111,117,114,133,0
0,iamrahmanosman,110,106,106,111,0
0,TheOperaNewsNG,9,8,8,9,1
0,DebolaLagos,101,89,77,106,0
0,mrogati,119,125,118,123,0
0,JenniferJJacobs,141,106,123,131,0
0,LexaDoig,105,110,111,129,0
0,femigbaja,107,100,109,104,0
0,fisayosoyombo,76,99,76,90,0
0,miseliti,3,1,5,3,1
0,ChibuikeAmaechi,122,114,130,115,0
0,NERCNG,97,96,103,104,0
0,cblatts,115,115,107,113,0
0,mattbish,122,125,119,120,0
0,Glambr,94,103,100,92,0
0,naomidgreatest,113,126,107,118,0
0,Sadiya_farouq,102,124,132,125,0
0,ValeryGweha,2,2,2,1,1
0,SuzanneNossel,115,141,110,131,0
0,DigiCommsNG,109,129,147,116,0
0,ughe_org,112,131,119,124,0
0,lighthousefamly,118,121,131,128,0
0,JeremyShure,110,112,110,135,0
0,INEOS159,109,105,127,121,0
0,StudioMucci,104,107,120,116,0
0,SERAPNigeria,100,127,124,127,0
0,TwitterSports,100,89,105,94,0
0,MNDA_Ng,110,107,124,119,0
0,BatTurds,95,103,99,112,0
0,Rotary,110,126,123,139,0
0,Ligue1UberEats,1,0,0,0,1
0,higuitarene,1,1,0,2,1
0,AirbnbHelp,122,127,126,130,0
0,HarvardChanSPH,136,130,122,114,0
0,PaulKagame,148,103,118,98,0
0,dejiomotoyinbo,116,118,112,120,0
0,JanineTony,128,107,108,104,0
0,narendramodi,77,84,108,94,0
0,badboycarlosd,92,89,86,82,0
0,trevormundel,111,123,126,140,0
0,renaemerle,125,118,118,92,0
0,ElaineEguthrie1,89,108,116,105,0
0,JustinTrudeau,44,57,64,66,1
0,ChristinaKTLA,107,128,119,117,0
0,Gabestuff,102,124,136,131,0
0,nbetnigeria,9,4,9,10,1
0,AllezLesLions,5,6,6,5,1
0,AaronBDesigns,121,108,104,116,0
0,SinghLions,106,78,115,95,0
